86,0,[195.5390625  114.82421875  24.17578125]
35,1,[240.65234375 118.078125    19.51171875]
87,0,[97.58203125 38.4140625  38.4140625 ]
252,3,[ 74.28125    180.73046875 213.36328125]
251,15,[ 8.40234375 10.40234375 15.40234375]
35,13,[ 84.83203125 109.53515625  27.50390625]
162,0,[103.25        96.578125    86.91796875]
4,0,[127.7890625  127.3046875  127.59765625]
35,10,[121.875      42.2109375 172.5078125]
7,0,[85.1171875 85.1171875 85.1171875]
1,4,[192.98046875 193.078125   194.55078125]
201,0,[169.91796875 125.91796875 169.6796875 ]
173,0,[16.0234375  15.91796875 15.91796875]
170,0,[166.21484375 136.453125    38.125     ]
165,0,[111.5703125  192.          91.63671875]
19,0,[195.8515625  192.14453125  74.609375  ]
252,14,[168.19921875  54.13671875  50.625     ]
213,0,[142.73307292  63.48567708  31.59244792]
35,8,[142.03125   142.1640625 134.6015625]
57,0,[ 98.1640625  237.13671875 228.12109375]
35,2,[189.54296875  68.765625   179.91796875]
17,3,[85.21484375 67.98046875 25.1796875 ]
42,0,[220.1171875 220.0078125 220.0078125]
17,2,[216.55859375 215.0078125  210.296875  ]
251,6,[213.5        101.01171875 142.8671875 ]
35,15,[20.6015625 21.296875  25.6328125]
251,14,[142.3828125  32.8125     32.8125   ]
12,0,[219.15625    207.22265625 163.09765625]
155,0,[235.78125    229.90234375 222.95703125]
252,6,[228.859375  153.328125  181.0546875]
251,9,[ 21.4453125 119.21875   136.1875   ]
22,0,[ 30.6484375   67.37109375 140.109375  ]
162,1,[60.39453125 46.55859375 26.15625   ]
133,0,[ 42.37890625 203.44921875  87.80078125]
1,5,[136.15234375 136.26171875 136.77734375]
35,12,[114.234375   71.609375   40.5859375]
35,7,[62.74609375 68.234375   71.5546875 ]
1,2,[154.1015625  106.84765625  89.2265625 ]
17,0,[109.09375  85.125    50.6875 ]
5,4,[168.1328125   90.37109375  50.2265625 ]
252,0,[225.7265625  227.4921875  227.83984375]
152,0,[175.56640625  24.78125      5.125     ]
251,7,[54.6171875 57.6171875 61.6171875]
251,11,[ 44.5390625  46.5390625 143.421875 ]
112,0,[44.29296875 21.87109375 26.09765625]
17,1,[58.83203125 37.6640625  16.91015625]
5,3,[160.44140625 115.19140625  80.79296875]
5,5,[66.66015625 43.09765625 20.21875   ]
251,8,[125.03125 125.03125 115.03125]
252,13,[ 97.1875     119.12109375  44.56640625]
251,1,[224.34375     97.13671875   0.6328125 ]
80,0,[249.01953125 254.22265625 254.22265625]
35,0,[233.58984375 236.296875   236.7734375 ]
168,0,[ 99.25      171.625     158.4296875]
45,0,[150.953125    97.56640625  83.0625    ]
35,9,[ 21.24609375 137.7265625  145.3515625 ]
252,10,[131.921875    55.67578125 177.59765625]
251,4,[240.98828125 175.41015625  21.44921875]
35,6,[237.9140625  141.37890625 172.3515625 ]
35,11,[ 53.0546875   57.25390625 157.4921875 ]
5,0,[162.203125   130.8203125   78.62890625]
5,2,[192.46875    175.29296875 121.2421875 ]
251,10,[100.4140625   31.62109375 156.3828125 ]
252,5,[125.38671875 189.2734375   41.90625   ]
35,14,[160.96875    39.3203125  34.640625 ]
252,15,[25.296875  26.7421875 31.9765625]
251,2,[169.20703125  48.4765625  159.2109375 ]
79,0,[145.71875    183.76171875 253.97265625]
251,12,[96.44921875 59.546875   31.59765625]
25,0,[88.7578125  58.94921875 40.7890625 ]
35,4,[248.78125   197.9609375  39.6328125]
251,5,[ 94.08984375 168.8046875   24.5       ]
252,4,[232.88671875 199.17578125  54.76953125]
251,13,[73.40625    91.33984375 36.4921875 ]
13,0,[131.93359375 127.4609375  126.50390625]
121,0,[219.50390625 222.9375     158.33984375]
252,8,[154.890625   154.95703125 148.1875    ]
252,12,[125.53515625  84.84765625  53.86328125]
35,3,[ 58.0703125  175.046875   217.31640625]
3,0,[134.25      96.296875  67.      ]
82,0,[160.6796875 166.4609375 179.4453125]
251,3,[ 35.59765625 137.0390625  198.9140625 ]
1,6,[132.2578125  134.75390625 133.99609375]
5,1,[114.91015625  84.8359375   48.56640625]
251,0,[207.109375   213.078125   214.07421875]
35,5,[112.2109375 185.1953125  25.796875 ]
216,0,[229.44921875 225.91015625 207.796875  ]
49,0,[15.13671875 10.6171875  24.55078125]
41,0,[246.41796875 208.3203125   61.625     ]
252,9,[ 36.6484375  147.9765625  157.16015625]
12,1,[190.67578125 102.95703125  33.17578125]
252,2,[192.7265625   83.80859375 184.63671875]
103,0,[114.3515625  146.19140625  30.21875   ]
89,0,[171.765625   131.18359375  84.30078125]
252,11,[ 70.23828125  73.265625   166.83203125]
252,7,[76.9453125  81.10546875 84.9140625 ]
252,1,[227.28125    131.859375    31.91015625]
214,0,[114.98828125   3.296875     2.640625  ]
88,0,[81.38671875 62.16015625 50.703125  ]
1,3,[188.71875    188.453125   188.98046875]
1,0,[125.546875 125.546875 125.546875]
